Topic Prompt Rating
school Simple 3
school Advanced 3
school Expert 3
work Simple 3
work Expert 3
work Advanced 3
animals Simple 3
animals Expert 3
animals Advanced 3
science Simple 3
science Expert 3
science Advanced 3
cars Simple 3
cars Expert 3
cars Advanced 3
cats Advanced 3
cats Simple 3
cats Expert 3
internet Advanced 3
internet Expert 3
internet Simple 3
computers Advanced 3
computers Expert 3
computers Simple 3
geography Expert 3
geography Advanced 3
geography Simple 3
trains Expert 3
trains Advanced 3
trains Simple 3
